"","min","q1st","median","mean","q3rd","max","na.count","layer_name"
"207",0,0,0,34.3764855599878,100,100,2143,"dtm_lithology_usgs.ecotapestry.unconsolidated.sediment_p_250m_s0..0cm_2014_v1.0.tif"
"208",0,0,0,0.105114902990165,0,100,2143,"dtm_lithology_usgs.ecotapestry.undefined_p_250m_s0..0cm_2014_v1.0.tif"
"209",0,0,0,21.6024144193604,0,2884,2178,"dtm_floodmap.500y_jrc.hazardmapping_m_1km_s0..0cm_1500..2016_v1.0.tif"
"210",1,7,17,29.2741993108478,41,270,2143,"dtm_water.table.depth_deltares_m_1km_b0..150m_2016_v1.0.tif"
"211",0,0,0,7.29237592160082,5,100,2143,"clm_snow.prob_esacci.apr_p_1km_s0..0cm_2000..2016_v1.0.tif"
"212",0,0,0,0.252089749230092,0,100,2143,"clm_snow.prob_esacci.aug_p_1km_s0..0cm_2000..2016_v1.0.tif"
"213",0,7,29,34.8996477469683,58,100,2143,"clm_snow.prob_esacci.dec_p_1km_s0..0cm_2000..2016_v1.0.tif"
"214",0,4,29,37.7864484449785,70,100,2143,"clm_snow.prob_esacci.feb_p_1km_s0..0cm_2000..2016_v1.0.tif"
"215",0,9,36,41.2589192652586,72,100,2143,"clm_snow.prob_esacci.jan_p_1km_s0..0cm_2000..2016_v1.0.tif"
"216",0,0,0,0.225515756901118,0,100,2143,"clm_snow.prob_esacci.jul_p_1km_s0..0cm_2000..2016_v1.0.tif"
"217",0,0,0,0.474071165151457,0,100,2143,"clm_snow.prob_esacci.jun_p_1km_s0..0cm_2000..2016_v1.0.tif"
"218",0,0,5,19.8555851150211,31,100,2143,"clm_snow.prob_esacci.mar_p_1km_s0..0cm_2000..2016_v1.0.tif"
"219",0,0,0,1.7305810551056,0,100,2143,"clm_snow.prob_esacci.may_p_1km_s0..0cm_2000..2016_v1.0.tif"
"220",0,1,4,14.1235454430032,20,100,2143,"clm_snow.prob_esacci.nov_p_1km_s0..0cm_2000..2016_v1.0.tif"
"221",0,0,0,3.41793508268941,2,100,2143,"clm_snow.prob_esacci.oct_p_1km_s0..0cm_2000..2016_v1.0.tif"
