"","Value","NAME","LC_1","AGG_NAME_1","LC_2","AGG_NAME_2","CLIMATE"
"970",970,"110_150_2","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)","Shrubs, grasslands and sparsely vegetated areas","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"971",971,"120_150_2","Shrubland","Shrubs, grasslands and sparsely vegetated areas","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"972",972,"121_150_2","Shrubland evergreen","Shrubs, grasslands and sparsely vegetated areas","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"973",973,"122_150_2","Shrubland deciduous","Shrubs, grasslands and sparsely vegetated areas","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"974",974,"130_150_2","Grassland","Shrubs, grasslands and sparsely vegetated areas","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"975",975,"140_150_2","Lichens and mosses","Shrubs, grasslands and sparsely vegetated areas","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"976",976,"150_150_2","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"977",977,"151_150_2","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"978",978,"152_150_2","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"979",979,"153_150_2","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"980",980,"160_150_2","Tree cover, flooded, fresh or brakish water","Forest","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"981",981,"170_150_2","Tree cover, flooded, saline water","Wetlands","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"982",982,"180_150_2","Shrub or herbaceous cover, flooded, fresh/saline/brakish water","Wetlands","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"983",983,"190_150_2","Urban areas","Artificial areas","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"984",984,"200_150_2","Bare areas","Bare land and other areas","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"985",985,"201_150_2","Consolidated bare areas","Bare land and other areas","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"986",986,"202_150_2","Unconsolidated bare areas","Bare land and other areas","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"987",987,"210_150_2","Water bodies","Water bodies","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"988",988,"220_150_2","Permanent snow and ice","Bare land and other areas","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"989",989,"0_151_2","No data","No Data","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"990",990,"10_151_2","Cropland, rainfed","Cropland","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"991",991,"11_151_2","Herbaceous cover","Cropland","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"992",992,"12_151_2","Tree or shrub cover","Cropland","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"993",993,"20_151_2","Cropland, irrigated or post-flooding","Cropland","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"994",994,"30_151_2","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"995",995,"40_151_2","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ","Shrubs, grasslands and sparsely vegetated areas","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"996",996,"50_151_2","Tree cover, broadleaved, evergreen, closed to open (>15%)","Forest","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"997",997,"60_151_2","Tree cover, broadleaved, deciduous, closed to open (>15%)","Forest","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"998",998,"61_151_2","Tree cover, broadleaved, deciduous, closed (>40%)","Forest","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"999",999,"62_151_2","Tree cover, broadleaved, deciduous, open (15-40%)","Forest","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1000",1000,"70_151_2","Tree cover, needleleaved, evergreen, closed to open (>15%)","Forest","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1001",1001,"71_151_2","Tree cover, needleleaved, evergreen, closed (>40%)","Forest","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1002",1002,"72_151_2","Tree cover, needleleaved, evergreen, open (15-40%)","Forest","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1003",1003,"80_151_2","Tree cover, needleleaved, deciduous, closed to open (>15%)","Forest","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1004",1004,"81_151_2","Tree cover, needleleaved, deciduous, closed (>40%)","Forest","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1005",1005,"82_151_2","Tree cover, needleleaved, deciduous, open (15-40%)","Forest","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1006",1006,"90_151_2","Tree cover, mixed leaf type (broadleaved and needleleaved)","Forest","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1007",1007,"100_151_2","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)","Forest","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1008",1008,"110_151_2","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)","Shrubs, grasslands and sparsely vegetated areas","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1009",1009,"120_151_2","Shrubland","Shrubs, grasslands and sparsely vegetated areas","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1010",1010,"121_151_2","Shrubland evergreen","Shrubs, grasslands and sparsely vegetated areas","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1011",1011,"122_151_2","Shrubland deciduous","Shrubs, grasslands and sparsely vegetated areas","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1012",1012,"130_151_2","Grassland","Shrubs, grasslands and sparsely vegetated areas","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1013",1013,"140_151_2","Lichens and mosses","Shrubs, grasslands and sparsely vegetated areas","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1014",1014,"150_151_2","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1015",1015,"151_151_2","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1016",1016,"152_151_2","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1017",1017,"153_151_2","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1018",1018,"160_151_2","Tree cover, flooded, fresh or brakish water","Forest","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1019",1019,"170_151_2","Tree cover, flooded, saline water","Wetlands","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1020",1020,"180_151_2","Shrub or herbaceous cover, flooded, fresh/saline/brakish water","Wetlands","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1021",1021,"190_151_2","Urban areas","Artificial areas","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1022",1022,"200_151_2","Bare areas","Bare land and other areas","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1023",1023,"201_151_2","Consolidated bare areas","Bare land and other areas","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1024",1024,"202_151_2","Unconsolidated bare areas","Bare land and other areas","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1025",1025,"210_151_2","Water bodies","Water bodies","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1026",1026,"220_151_2","Permanent snow and ice","Bare land and other areas","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1027",1027,"0_152_2","No data","No Data","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1028",1028,"10_152_2","Cropland, rainfed","Cropland","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1029",1029,"11_152_2","Herbaceous cover","Cropland","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1030",1030,"12_152_2","Tree or shrub cover","Cropland","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1031",1031,"20_152_2","Cropland, irrigated or post-flooding","Cropland","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1032",1032,"30_152_2","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1033",1033,"40_152_2","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ","Shrubs, grasslands and sparsely vegetated areas","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1034",1034,"50_152_2","Tree cover, broadleaved, evergreen, closed to open (>15%)","Forest","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1035",1035,"60_152_2","Tree cover, broadleaved, deciduous, closed to open (>15%)","Forest","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1036",1036,"61_152_2","Tree cover, broadleaved, deciduous, closed (>40%)","Forest","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1037",1037,"62_152_2","Tree cover, broadleaved, deciduous, open (15-40%)","Forest","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1038",1038,"70_152_2","Tree cover, needleleaved, evergreen, closed to open (>15%)","Forest","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1039",1039,"71_152_2","Tree cover, needleleaved, evergreen, closed (>40%)","Forest","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1040",1040,"72_152_2","Tree cover, needleleaved, evergreen, open (15-40%)","Forest","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1041",1041,"80_152_2","Tree cover, needleleaved, deciduous, closed to open (>15%)","Forest","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1042",1042,"81_152_2","Tree cover, needleleaved, deciduous, closed (>40%)","Forest","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1043",1043,"82_152_2","Tree cover, needleleaved, deciduous, open (15-40%)","Forest","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1044",1044,"90_152_2","Tree cover, mixed leaf type (broadleaved and needleleaved)","Forest","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1045",1045,"100_152_2","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)","Forest","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1046",1046,"110_152_2","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)","Shrubs, grasslands and sparsely vegetated areas","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1047",1047,"120_152_2","Shrubland","Shrubs, grasslands and sparsely vegetated areas","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1048",1048,"121_152_2","Shrubland evergreen","Shrubs, grasslands and sparsely vegetated areas","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1049",1049,"122_152_2","Shrubland deciduous","Shrubs, grasslands and sparsely vegetated areas","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1050",1050,"130_152_2","Grassland","Shrubs, grasslands and sparsely vegetated areas","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1051",1051,"140_152_2","Lichens and mosses","Shrubs, grasslands and sparsely vegetated areas","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1052",1052,"150_152_2","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1053",1053,"151_152_2","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1054",1054,"152_152_2","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1055",1055,"153_152_2","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1056",1056,"160_152_2","Tree cover, flooded, fresh or brakish water","Forest","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1057",1057,"170_152_2","Tree cover, flooded, saline water","Wetlands","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1058",1058,"180_152_2","Shrub or herbaceous cover, flooded, fresh/saline/brakish water","Wetlands","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1059",1059,"190_152_2","Urban areas","Artificial areas","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1060",1060,"200_152_2","Bare areas","Bare land and other areas","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1061",1061,"201_152_2","Consolidated bare areas","Bare land and other areas","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1062",1062,"202_152_2","Unconsolidated bare areas","Bare land and other areas","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1063",1063,"210_152_2","Water bodies","Water bodies","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1064",1064,"220_152_2","Permanent snow and ice","Bare land and other areas","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1065",1065,"0_153_2","No data","No Data","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1066",1066,"10_153_2","Cropland, rainfed","Cropland","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1067",1067,"11_153_2","Herbaceous cover","Cropland","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1068",1068,"12_153_2","Tree or shrub cover","Cropland","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1069",1069,"20_153_2","Cropland, irrigated or post-flooding","Cropland","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1070",1070,"30_153_2","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1071",1071,"40_153_2","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ","Shrubs, grasslands and sparsely vegetated areas","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1072",1072,"50_153_2","Tree cover, broadleaved, evergreen, closed to open (>15%)","Forest","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1073",1073,"60_153_2","Tree cover, broadleaved, deciduous, closed to open (>15%)","Forest","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1074",1074,"61_153_2","Tree cover, broadleaved, deciduous, closed (>40%)","Forest","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1075",1075,"62_153_2","Tree cover, broadleaved, deciduous, open (15-40%)","Forest","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1076",1076,"70_153_2","Tree cover, needleleaved, evergreen, closed to open (>15%)","Forest","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1077",1077,"71_153_2","Tree cover, needleleaved, evergreen, closed (>40%)","Forest","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1078",1078,"72_153_2","Tree cover, needleleaved, evergreen, open (15-40%)","Forest","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1079",1079,"80_153_2","Tree cover, needleleaved, deciduous, closed to open (>15%)","Forest","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1080",1080,"81_153_2","Tree cover, needleleaved, deciduous, closed (>40%)","Forest","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1081",1081,"82_153_2","Tree cover, needleleaved, deciduous, open (15-40%)","Forest","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1082",1082,"90_153_2","Tree cover, mixed leaf type (broadleaved and needleleaved)","Forest","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1083",1083,"100_153_2","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)","Forest","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1084",1084,"110_153_2","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)","Shrubs, grasslands and sparsely vegetated areas","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1085",1085,"120_153_2","Shrubland","Shrubs, grasslands and sparsely vegetated areas","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1086",1086,"121_153_2","Shrubland evergreen","Shrubs, grasslands and sparsely vegetated areas","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1087",1087,"122_153_2","Shrubland deciduous","Shrubs, grasslands and sparsely vegetated areas","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1088",1088,"130_153_2","Grassland","Shrubs, grasslands and sparsely vegetated areas","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1089",1089,"140_153_2","Lichens and mosses","Shrubs, grasslands and sparsely vegetated areas","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1090",1090,"150_153_2","Sparse vegetation (tree, shrub, herbaceous cover) (<15%)","Shrubs, grasslands and sparsely vegetated areas","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1091",1091,"151_153_2","Sparse tree (<15%)","Shrubs, grasslands and sparsely vegetated areas","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1092",1092,"152_153_2","Sparse shrub (<15%)","Shrubs, grasslands and sparsely vegetated areas","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1093",1093,"153_153_2","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1094",1094,"160_153_2","Tree cover, flooded, fresh or brakish water","Forest","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1095",1095,"170_153_2","Tree cover, flooded, saline water","Wetlands","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1096",1096,"180_153_2","Shrub or herbaceous cover, flooded, fresh/saline/brakish water","Wetlands","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1097",1097,"190_153_2","Urban areas","Artificial areas","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1098",1098,"200_153_2","Bare areas","Bare land and other areas","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1099",1099,"201_153_2","Consolidated bare areas","Bare land and other areas","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1100",1100,"202_153_2","Unconsolidated bare areas","Bare land and other areas","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1101",1101,"210_153_2","Water bodies","Water bodies","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1102",1102,"220_153_2","Permanent snow and ice","Bare land and other areas","Sparse herbaceous cover (<15%)","Shrubs, grasslands and sparsely vegetated areas","Boreal_Dry"
"1103",1103,"0_160_2","No data","No Data","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1104",1104,"10_160_2","Cropland, rainfed","Cropland","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1105",1105,"11_160_2","Herbaceous cover","Cropland","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1106",1106,"12_160_2","Tree or shrub cover","Cropland","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1107",1107,"20_160_2","Cropland, irrigated or post-flooding","Cropland","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1108",1108,"30_160_2","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)","Cropland","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1109",1109,"40_160_2","Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ","Shrubs, grasslands and sparsely vegetated areas","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1110",1110,"50_160_2","Tree cover, broadleaved, evergreen, closed to open (>15%)","Forest","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1111",1111,"60_160_2","Tree cover, broadleaved, deciduous, closed to open (>15%)","Forest","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1112",1112,"61_160_2","Tree cover, broadleaved, deciduous, closed (>40%)","Forest","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1113",1113,"62_160_2","Tree cover, broadleaved, deciduous, open (15-40%)","Forest","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1114",1114,"70_160_2","Tree cover, needleleaved, evergreen, closed to open (>15%)","Forest","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1115",1115,"71_160_2","Tree cover, needleleaved, evergreen, closed (>40%)","Forest","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1116",1116,"72_160_2","Tree cover, needleleaved, evergreen, open (15-40%)","Forest","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1117",1117,"80_160_2","Tree cover, needleleaved, deciduous, closed to open (>15%)","Forest","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1118",1118,"81_160_2","Tree cover, needleleaved, deciduous, closed (>40%)","Forest","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1119",1119,"82_160_2","Tree cover, needleleaved, deciduous, open (15-40%)","Forest","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1120",1120,"90_160_2","Tree cover, mixed leaf type (broadleaved and needleleaved)","Forest","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1121",1121,"100_160_2","Mosaic tree and shrub (>50%) / herbaceous cover (<50%)","Forest","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1122",1122,"110_160_2","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)","Shrubs, grasslands and sparsely vegetated areas","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1123",1123,"120_160_2","Shrubland","Shrubs, grasslands and sparsely vegetated areas","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1124",1124,"121_160_2","Shrubland evergreen","Shrubs, grasslands and sparsely vegetated areas","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1125",1125,"122_160_2","Shrubland deciduous","Shrubs, grasslands and sparsely vegetated areas","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1126",1126,"130_160_2","Grassland","Shrubs, grasslands and sparsely vegetated areas","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
"1127",1127,"140_160_2","Lichens and mosses","Shrubs, grasslands and sparsely vegetated areas","Tree cover, flooded, fresh or brakish water","Forest","Boreal_Dry"
