"","layer_key","labsampnum","project_key","site_key","pedon_key","layer_sequence","layer_type","layer_field_label_1","layer_field_label_2","layer_field_label_3","hzn_top","hzn_bot","hzn_desgn_old","hzn_desgn","hzn_discontinuity","hzn_master","hzn_prime","hzn_vert_subdvn","hzn_desgn_other","non_hzn_desgn","stratified_textures_flag","texture_description","result_source_key","prep_code","db_13b","db_od","COLEws","w6clod","w10cld","w3cld","w15l2","w15bfm","adod","wrd_ws13","aggstb","cec7_cly","w15cly","c_adod","result_source_key","prep_code","c_tot","c_tot_code","n_tot","n_tot_code","s_tot","s_tot_code","oc","oc_code","c_n_ra","fe_dith","fe_dith_code","al_dith","al_dith_code","mn_dith","mn_dith_code","al_fe_ox","optd_ox","optd_ox_code","fe_ox","fe_ox_code","al_ox","al_ox_code","mn_ox","mn_ox_code","si_ox","si_ox_code","c_pyp","c_pyp_code","fe_pyp","fe_pyp_code","al_pyp","al_pyp_code","mn_pyp","mn_pyp_code","result_source_key","prep_code","min_lt2","eom_tot_c","eom_minlt2","c_tot","n_tot","c_n_ra","fib_urb","fib_rb","pyr_col","decomp_state","limnic_type","ph_hist","ph_h2o","db_3brw","db_3rw","db_od","oc","result_source_key","prep_code","ph_cacl2","ph_h2o","ph_kcl","ph_naf","ph_sp","caco3","caco3l20","c_gypl2","gypl20","resist","ph_ox","ph_oxin","result_source_key","prep_code","clay_tot_psa","silt_tot_psa","sand_tot_psa","clay_f","co3_cly","silt_f_psa","silt_c_psa","sand_vf_psa","sand_f_psa","sand_m_psa","sand_c_psa","sand_vc_psa","wf_25","wf_520","wf_2075","wf_0175","wpg2","tex_psda"
"21",124,"40A00182",1,18,18,3,"horizon","3","","",25,46,"B2","Bw1","","B","","1","","","","",124,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.730000019,NA,NA,124,"S",NA,"",0.0549999997,"6B1a",NA,"",0.439999998,"6A1a",8,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,"S",NA,NA,NA,NA,6.5,1,NA,0,NA,NA,NA,NA,124,"S",17.6000004,19.6000004,62.7999992,NA,NA,9,10.6000004,12.8000002,26.8999996,11.5,8,3.5999999,3,2,0,50,5,"fsl"
"22",125,"40A00183",1,18,18,4,"horizon","4","","",46,53,"B3","Bw2","","B","","2","","","","",125,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.629999995,NA,NA,125,"S",NA,"",0.0529999994,"6B1a",NA,"",0.419999987,"6A1a",8,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,"S",NA,NA,NA,NA,7.5999999,4,NA,0,NA,NA,NA,NA,125,"S",24,28.2000008,47.7999992,NA,NA,15.1999998,13,11.1000004,17.7999992,7.5,7,4.4000001,1,0,0,37,1,"l"
"23",126,"40A00184",1,18,18,5,"horizon","5","","",53,64,"Cca1","Bk","","B","","","","","","",126,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49000001,NA,NA,126,"S",NA,"",0.0350000001,"6B1a",NA,"",0.289999992,"6A1a",8,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,"S",NA,NA,NA,NA,7.9000001,16,NA,0,NA,NA,NA,NA,126,"S",23.5,34.9000015,41.5999985,NA,NA,20.3999996,14.5,12.8000002,15.6000004,5.80000019,5.5,1.89999998,1,1,0,29,2,"l"
"24",127,"40A00185",1,18,18,6,"horizon","6","","",64,114,"C1","C1","","C","","1","","","","",127,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.519999981,NA,NA,127,"S",NA,"",0.0260000005,"6B1a",NA,"",0.239999995,"6A1a",9,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,"S",NA,NA,NA,NA,8.39999962,14,NA,0,NA,NA,NA,NA,127,"S",25.2000008,38.2000008,36.5999985,NA,NA,21.7999992,16.3999996,12.3999996,14,4.9000001,3.70000005,1.60000002,1,1,0,24,2,"l"
"25",128,"40A00186",1,18,18,7,"horizon","7","","",114,163,"C2","C2","","C","","2","","","","",128,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.560000002,NA,NA,128,"S",NA,"",0.023,"6B1a",NA,"",0.230000004,"6A1a",10,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,"S",NA,NA,NA,NA,8.19999981,8,NA,0,NA,NA,NA,NA,128,"S",24.7999992,37.7000008,37.5,NA,NA,21.3999996,16.2999992,13,14.1999998,4.5999999,3.79999995,1.89999998,1,1,0,25,2,"l"
"26",129,"40A00187",1,19,19,1,"horizon","8697","","",0,5,"A11","A1","","A","","1","","","","",129,"S",NA,NA,NA,NA,NA,NA,13.8999996,NA,NA,NA,NA,1.15999997,0.689999998,NA,129,"S",NA,"",0.386000007,"6B1a",NA,"",5.13000011,"6A1a",13,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,"S",NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,"S",20.2000008,43.7000008,36.0999985,NA,NA,24.3999996,19.2999992,11.5,13.6999998,5.19999981,4.4000001,1.29999995,0,0,0,25,0,"l"
"27",130,"40A00188",1,19,19,2,"horizon","8698","","",5,18,"A12","A2","","A","","2","","","","",130,"S",NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,0.839999974,0.460000008,NA,130,"S",NA,"",0.236000001,"6B1a",NA,"",2.96000004,"6A1a",13,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,"S",NA,6.19999981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,"S",23.7000008,45.0999985,31.2000008,NA,NA,29.2999992,15.8000002,9.69999981,11.6999998,4.30000019,3.9000001,1.60000002,0,0,0,22,0,"l"
"28",131,"40A00189",1,19,19,3,"horizon","8699","","",18,25,"A2","E","","E","","","","","","",131,"S",NA,NA,NA,NA,NA,NA,5.69999981,NA,NA,NA,NA,0.709999979,0.349999994,NA,131,"S",NA,"",0.100000001,"6B1a",NA,"",1.07000005,"6A1a",11,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,"S",NA,6.30000019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,"S",16.1000004,44.7000008,39.2000008,NA,NA,28.3999996,16.2999992,10.3999996,15,6.4000001,5.19999981,2.20000005,1,1,0,29,2,"l"
"29",132,"40A00190",1,19,19,4,"horizon","8700","","",25,36,"B2","Bw","","B","","","","","","",132,"S",NA,NA,NA,NA,NA,NA,14.3999996,NA,NA,NA,NA,0.709999979,0.379999995,NA,132,"S",NA,"",0.100000001,"6B1a",NA,"",1.05999994,"6A1a",11,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,"S",NA,6.5,NA,NA,NA,0,NA,0,NA,NA,NA,NA,132,"S",38,36.9000015,25.1000004,NA,NA,25.2000008,11.6999998,7.4000001,9.80000019,3.9000001,2.79999995,1.20000005,0,0,0,18,0,"cl"
"30",133,"40A00191",1,19,19,5,"horizon","8701","","",36,43,"B3Cs","By1","","B","","1","","","","",133,"S",NA,NA,NA,NA,NA,NA,16.3999996,NA,NA,NA,NA,0.660000026,0.389999986,NA,133,"S",NA,"",0.0820000023,"6B1a",NA,"",0.860000014,"6A1a",10,NA,"",NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,"S",NA,7.9000001,NA,NA,NA,1,NA,1,NA,NA,NA,NA,133,"S",42.4000015,39.2000008,18.3999996,NA,NA,29.2999992,9.89999962,5.5,7.19999981,3.0999999,2.0999999,0.5,0,0,0,13,0,"c"
